category,question,option_a,option_b,option_c,option_d,answer
sains,Gaya yang menghambat gerak permukaan yang bersentuhan disebut...,Gravitasi,Gesek,Pegas,Magnet,B
sains,Energi karena gerak disebut energi...,Kinetik,Nuklir,Kimia,Potensial,A
sains,Energi karena posisi disebut energi...,Potensial,Kinetik,Bunyi,Cahaya,A
sains,Satuan SI untuk massa adalah...,Pound,Ton,Gram,Kilogram,D
sains,Satuan SI untuk waktu adalah...,Jam,Hari,Sekon,Menit,C
sains,Magma yang mencapai permukaan disebut...,Abu,Batuan sedimen,Humus,Lava,D
teknologi,Format audio kompresi lossy yang populer adalah...,CSV,HTML,PNG,MP3,D
teknologi,Format video populer di web adalah...,MP4,BMP,WAV,TXT,A
teknologi,Shortcut untuk menyalin teks adalah...,Ctrl+C,Ctrl+P,Ctrl+F,Ctrl+Z,A
teknologi,Shortcut untuk menempelkan teks adalah...,Ctrl+A,Ctrl+S,Ctrl+V,Ctrl+X,C
teknologi,Shortcut untuk membatalkan tindakan terakhir adalah...,Ctrl+B,Ctrl+Z,Ctrl+N,Ctrl+R,B
teknologi,Firewall berfungsi terutama untuk...,Mengisi baterai,Membesarkan monitor,Mencetak dokumen,Menyaring lalu lintas jaringan,D
teknologi,Bluetooth digunakan untuk komunikasi...,Satelit saja,Jarak dekat nirkabel,Televisi analog,Antarbenua dengan kabel laut,B
teknologi,GPU terutama berkaitan dengan pemrosesan...,Grafis,Suara manusia saja,Kertas,Suhu,A
teknologi,Backup data berarti...,Mengganti nama file,Membuat salinan data,Menghapus data,Mematikan komputer,B
teknologi,DNS membantu menerjemahkan nama domain menjadi...,Kode pos,Nomor telepon,Password,Alamat IP,D
olahraga,Satu pertandingan sepak bola normal terdiri dari...,4 babak,5 babak,2 babak,3 babak,C
olahraga,Olahraga yang memakai raket dan kok adalah...,Bulu tangkis,Baseball,Hoki,Rugby,A
olahraga,"Dalam basket, memasukkan bola ke keranjang menghasilkan...",Run,Gol,Set,Poin,D
olahraga,"Dalam tenis, angka setelah 30 adalah...",45,35,40,50,C
olahraga,Olahraga dengan gerakan berguling di atas matras adalah...,Senam,Panahan,Balap sepeda,Renang,A
olahraga,Gaya renang dengan posisi telentang disebut...,Gaya kupu-kupu,Gaya dada,Gaya punggung,Gaya bebas,C
olahraga,Lembing dilempar dalam cabang...,Tenis,Bulu tangkis,Bola voli,Atletik,D
olahraga,Tolak peluru menggunakan gerakan utama...,Menangkap,Memukul,Menendang,Mendorong,D
olahraga,Satu game bulu tangkis umumnya dimainkan sampai...,25 poin,21 poin,11 poin,15 poin,B
olahraga,"Dalam sepak bola, kartu merah berarti pemain...",Dikeluarkan,Menjadi kapten,Mendapat bonus,Mendapat penalti,A
bahasa,Sinonim kata “indah” adalah...,Elok,Buruk,Kasar,Lemah,A
bahasa,Antonim kata “tinggi” adalah...,Luas,Panjang,Rendah,Besar,C
bahasa,Kata baku yang benar adalah...,Aktivitas,Aktifitaz,Aktifvitas,Aktifitas,A
bahasa,Puisi biasanya disusun dalam bentuk...,Bait,Tabel,Daftar,Kolom,A
bahasa,Riwayat hidup yang ditulis oleh diri sendiri disebut...,Biografi,Legenda,Autobiografi,Fabel,C
bahasa,Kata “bermain” termasuk kata...,Bilangan,Benda,Sifat,Kerja,D
bahasa,Kata “rumah” termasuk kata...,Hubung,Seru,Kerja,Benda,D
bahasa,Gagasan utama disebut juga...,Sampiran,Kata depan,Ide pokok,Predikat,C
bahasa,Cerita dengan tokoh binatang dan pesan moral disebut...,Eksposisi,Berita,Fabel,Biografi,C
mtk,Hasil dari 27 + 38 adalah...,65,55,75,85,A
mtk,Hasil dari 96 − 47 adalah...,49,69,39,59,A
mtk,Hasil dari 14 × 7 adalah...,98,91,104,84,D
mtk,Hasil dari 225 ÷ 15 adalah...,20,18,12,15,D
mtk,"Jika x − 9 = 16, maka x = ...",27,7,29,25,D
mtk,30% dari 150 adalah...,45,60,50,30,A
mtk,Luas persegi dengan sisi 7 cm adalah...,28 cm²,56 cm²,14 cm²,49 cm²,D
mtk,Keliling persegi panjang 8 cm × 3 cm adalah...,22 cm,11 cm,48 cm,24 cm,A
mtk,Hasil dari 2/5 + 1/5 adalah...,3/10,3/5,1/5,2/10,B
mtk,"Hasil dari 0,75 × 4 adalah...",2,"2,5",3,"3,5",C
logika,"Lanjutkan pola: 5, 10, 15, 20, ...",30,24,35,25,D
logika,"Lanjutkan pola: 64, 32, 16, 8, ...",2,6,10,4,D
logika,"Jika semua burung memiliki sayap dan Elang adalah burung, maka Elang...",Memiliki sayap,Tidak memiliki sayap,Adalah ikan,Tidak dapat bergerak,A
logika,Rina lebih tua dari Sari. Sari lebih tua dari Tika. Yang termuda adalah...,Sari,Tidak diketahui,Rina,Tika,D
logika,"Jika hari ini Rabu, dua hari lagi adalah...",Jumat,Minggu,Kamis,Sabtu,A
logika,"Pola huruf B, D, F, H, ... adalah...",J,L,I,K,A
logika,"Jika 3 kotak masing-masing berisi 6 kelereng, jumlahnya...",24,12,9,18,D
logika,Semua mawar adalah bunga. Yang pasti benar adalah...,Semua bunga mawar,Mawar termasuk bunga,Bunga bukan tanaman,Tidak ada mawar,B
logika,"Pola 2, 5, 8, 11, ... berikutnya...",12,14,15,13,B
logika,"Pola 1, 4, 9, 16, ... berikutnya...",24,36,25,20,C
umum,Planet yang dikenal sebagai Planet Merah adalah...,Jupiter,Venus,Merkurius,Mars,D
umum,Alat yang digunakan untuk mengukur suhu disebut...,Termometer,Barometer,Higrometer,Anemometer,A
umum,Benua terluas di dunia adalah...,Eropa,Afrika,Australia,Asia,D
umum,Samudra terluas di dunia adalah...,Arktik,Pasifik,Hindia,Atlantik,B
umum,Hewan yang mengalami metamorfosis sempurna adalah...,Ayam,Kupu-kupu,Ikan,Kucing,B
umum,Sumber energi utama bagi kehidupan di Bumi adalah...,Batu bara,Bulan,Angin,Matahari,D
umum,Bagian tumbuhan yang umumnya berfungsi menyerap air dari tanah adalah...,Akar,Buah,Batang,Bunga,A
umum,Satuan dasar untuk mengukur massa dalam SI adalah...,Meter,Kilogram,Liter,Sekon,B
umum,Alat untuk melihat benda yang sangat jauh seperti bintang adalah...,Teleskop,Termometer,Periskop,Mikroskop,A
umum,Hewan yang termasuk kelompok mamalia adalah...,Lumba-lumba,Penyu,Katak,Buaya,A
umum,Gas yang paling banyak terdapat di atmosfer Bumi adalah...,Hidrogen,Oksigen,Karbon dioksida,Nitrogen,D
umum,Bentuk Bumi yang paling tepat digambarkan sebagai...,Piramida,Kubus,Bola sempurna,Geoida,D
umum,Alat untuk mengukur waktu secara sederhana adalah...,Jam,Jangka sorong,Neraca,Kompas,A
umum,Proses perubahan air menjadi uap karena pemanasan disebut...,Mencair,Menguap,Membeku,Mengembun,B
umum,Hewan yang aktif terutama pada malam hari disebut...,Diurnal,Herbivora,Omnivora,Nocturnal,D
umum,Bagian tubuh manusia yang berfungsi memompa darah adalah...,Hati,Ginjal,Jantung,Paru-paru,C
umum,Benda yang dapat ditarik kuat oleh magnet adalah...,Besi,Kertas,Kayu,Plastik,A
umum,Warna yang dihasilkan dari campuran biru dan kuning adalah...,Ungu,Oranye,Cokelat,Hijau,D
umum,Organ tubuh yang digunakan untuk bernapas adalah...,Lambung,Usus,Paru-paru,Pankreas,C
umum,Kumpulan bintang yang tampak membentuk pola tertentu disebut...,Orbit,Rasi bintang,Satelit,Galaksi,B
umum,Satu lusin berjumlah...,10,13,12,11,C
umum,Hari setelah Jumat adalah...,Sabtu,Senin,Minggu,Kamis,A
umum,Alat untuk memotong kertas adalah...,Penggaris,Penghapus,Stapler,Gunting,D
umum,Buah yang dikenal kaya akan vitamin C adalah...,Keju,Nasi,Telur,Jeruk,D
umum,Hewan yang dikenal sebagai raja hutan adalah...,Harimau,Singa,Beruang,Serigala,B
umum,Logam yang memiliki simbol kimia Au adalah...,Perak,Emas,Besi,Tembaga,B
umum,Planet terbesar dalam tata surya adalah...,Jupiter,Bumi,Neptunus,Saturnus,A
umum,Satelit alami Bumi adalah...,Bulan,Matahari,Mars,Venus,A
umum,Air mendidih pada tekanan normal pada suhu sekitar...,50°C,100°C,200°C,0°C,B
umum,Hewan yang memakan tumbuhan terutama disebut...,Insektivora,Herbivora,Karnivora,Piscivora,B
umum,Alat untuk mengetahui arah utara adalah...,Termometer,Barometer,Kalkulator,Kompas,D
umum,Pelangi biasanya terdiri dari berapa warna utama yang dikenal dalam pelajaran dasar?,6,5,8,7,D
umum,Benda yang mengorbit sebuah planet disebut...,Komet saja,Meteorologi,Satelit,Kompas,C
umum,Sistem peredaran darah manusia mengedarkan...,Makanan saja,Darah,Air hujan,Udara saja,B
umum,Bahan yang paling umum digunakan untuk membuat kaca adalah...,Kapas,Kayu,Karet,Pasir silika,D
umum,Kertas dibuat terutama dari bahan dasar...,Serat kayu,Minyak goreng,Batu,Besi,A
umum,Hewan yang memiliki delapan kaki adalah...,Kupu-kupu,Belalang,Laba-laba,Cacing,C
umum,Bagian mata yang memberi warna pada mata disebut...,Kornea,Iris,Pupil,Retina,B
umum,Zat yang dibutuhkan manusia untuk membangun dan memperbaiki jaringan tubuh adalah...,Protein,Air saja,Karbon dioksida,Garam,A
umum,Alat musik yang dimainkan dengan cara dipukul adalah...,Gitar,Biola,Drum,Seruling,C
sejarah,Proklamasi Kemerdekaan Indonesia dibacakan pada tanggal...,20 Mei 1908,10 November 1945,28 Oktober 1928,17 Agustus 1945,D
sejarah,Tokoh yang membacakan Proklamasi Kemerdekaan Indonesia adalah...,Ki Hajar Dewantara,Soekarno,Sutan Sjahrir,Mohammad Hatta,B
sejarah,Tokoh yang mendampingi Soekarno saat Proklamasi adalah...,Tan Malaka,Diponegoro,Mohammad Hatta,Ahmad Yani,C
sejarah,Organisasi Budi Utomo berdiri pada tahun...,1905,1928,1945,1908,D
sejarah,Sumpah Pemuda diperingati setiap tanggal...,20 Mei,10 November,17 Agustus,28 Oktober,D
sejarah,Peristiwa Bandung Lautan Api terjadi pada tahun...,1946,1947,1948,1945,A
sejarah,Hari Pahlawan diperingati pada...,2 Mei,10 November,1 Juni,21 April,B
sejarah,VOC merupakan perusahaan dagang yang didirikan oleh...,Spanyol,Belanda,Portugis,Inggris,B
sejarah,Kerajaan Majapahit mencapai masa kejayaan pada masa pemerintahan...,Purnawarman,Airlangga,Hayam Wuruk,Mulawarman,C
sejarah,Patih Majapahit yang terkenal dengan Sumpah Palapa adalah...,Gajah Mada,Adityawarman,Ken Arok,Raden Wijaya,A
sejarah,Candi Borobudur merupakan peninggalan bercorak...,Kristen,Hindu,Buddha,Islam,C
sejarah,Candi Prambanan dikenal sebagai kompleks candi bercorak...,Hindu,Buddha,Islam,Konghucu,A
sejarah,Kerajaan Kutai dikenal sebagai salah satu kerajaan Hindu tertua di...,Kalimantan,Jawa,Sulawesi,Sumatra,A
sejarah,Kerajaan Sriwijaya dikenal kuat sebagai kerajaan...,Agraris saja,Nomaden,Pegunungan,Maritim,D
sejarah,Ki Hajar Dewantara dikenal sebagai tokoh penting dalam bidang...,Pertambangan,Pendidikan,Pelayaran,Perdagangan,B
sejarah,Hari Pendidikan Nasional diperingati setiap...,10 November,1 Juni,2 Mei,21 April,C
sejarah,R.A. Kartini dikenal sebagai tokoh yang memperjuangkan...,Revolusi industri,Emansipasi perempuan,Pelayaran,Kemerdekaan India,B
sejarah,Perang Diponegoro berlangsung pada abad...,19,17,18,20,A
sejarah,Pangeran Diponegoro memimpin perlawanan terhadap...,Jepang,Belanda,Inggris,Portugis,B
sejarah,Pendudukan Jepang di Indonesia dimulai pada tahun...,1945,1950,1930,1942,D
sejarah,BPUPKI dibentuk dalam rangka...,Mempersiapkan kemerdekaan Indonesia,Mendirikan kerajaan,Membentuk VOC,Menghapus sekolah,A
sejarah,Peristiwa Rengasdengklok berkaitan erat dengan...,Sumpah Pemuda,Konferensi Asia Afrika,Perang Diponegoro,Persiapan Proklamasi,D
sejarah,Konferensi Asia Afrika pertama kali diselenggarakan di...,Surabaya,Bandung,Yogyakarta,Jakarta,B
sejarah,Konferensi Asia Afrika berlangsung pada tahun...,1960,1950,1955,1945,C
sejarah,Tokoh yang dikenal sebagai pendiri Taman Siswa adalah...,Soekarno,Douwes Dekker,Ki Hajar Dewantara,Mohammad Hatta,C
sejarah,Semboyan pendidikan Ki Hajar Dewantara yang terkenal adalah...,Tut Wuri Handayani,Jas Merah,Bhinneka Tunggal Ika,Merdeka atau Mati,A
sejarah,Kerajaan Mataram Kuno banyak meninggalkan peninggalan berupa...,Pelabuhan baja,Rel kereta,Candi,Benteng modern,C
sejarah,Situs manusia purba Sangiran berada di...,Jawa Tengah,Sumatra Barat,Papua,Bali,A
sejarah,Naskah Proklamasi diketik oleh...,Sayuti Melik,Chaerul Saleh,Wikana,Ahmad Soebardjo,A
sejarah,Bendera Merah Putih yang dikibarkan saat Proklamasi dijahit oleh...,Cut Nyak Dien,Dewi Sartika,Kartini,Fatmawati,D
sejarah,Lagu Indonesia Raya diciptakan oleh...,C. Simanjuntak,Kusbini,W.R. Supratman,Ismail Marzuki,C
sejarah,Semboyan 'Bhinneka Tunggal Ika' berasal dari karya sastra zaman...,Majapahit,Tarumanegara,Kutai,Sriwijaya,A
sejarah,Perang Padri berlangsung terutama di wilayah...,Sumatra Barat,Bali,Maluku,Jawa Barat,A
sejarah,Tuanku Imam Bonjol merupakan tokoh dalam...,Perang Jawa,Perang Aceh,Perang Padri,Perang Banjar,C
sejarah,Cut Nyak Dien dikenal sebagai pahlawan dari...,Bali,Jawa,Maluku,Aceh,D
sejarah,Pattimura memimpin perlawanan rakyat di wilayah...,Jawa Tengah,Maluku,Kalimantan,Aceh,B
sejarah,Sultan Hasanuddin merupakan pahlawan dari...,Sumatra Selatan,Sulawesi Selatan,Papua,Jawa Timur,B
sejarah,Julukan Sultan Hasanuddin adalah...,Ayam Jantan dari Timur,Singa Padang Pasir,Elang Nusantara,Harimau Jawa,A
sejarah,Tan Malaka dikenal sebagai salah satu tokoh...,Pelayaran Portugis,Kerajaan Hindu,Pergerakan nasional,Penjelajahan samudra,C
geografi,Ibu kota Provinsi Jawa Barat adalah...,Bandung,Bogor,Serang,Semarang,A
geografi,Ibu kota Provinsi Jawa Tengah adalah...,Bandung,Semarang,Yogyakarta,Surabaya,B
geografi,Ibu kota Provinsi Jawa Timur adalah...,Surabaya,Madiun,Malang,Kediri,A
geografi,Pulau terbesar di Indonesia adalah...,Kalimantan,Jawa,Madura,Bali,A
geografi,Pulau yang dikenal sebagai Pulau Dewata adalah...,Sumbawa,Bali,Lombok,Flores,B
geografi,Selat yang memisahkan Pulau Jawa dan Sumatra adalah...,Selat Makassar,Selat Bali,Selat Karimata,Selat Sunda,D
geografi,Selat yang memisahkan Bali dan Jawa adalah...,Selat Malaka,Selat Sunda,Selat Bali,Selat Lombok,C
geografi,Laut yang berada di antara Kalimantan dan Sulawesi adalah...,Laut Jawa,Laut Sulawesi,Laut Arafura,Laut Flores,B
geografi,Danau Toba terletak di provinsi...,Sumatra Barat,Riau,Jambi,Sumatra Utara,D
geografi,Gunung tertinggi di Indonesia adalah...,Rinjani,Kerinci,Semeru,Puncak Jaya,D
geografi,Gunung Rinjani berada di pulau...,Jawa,Lombok,Sumatra,Bali,B
geografi,Sungai terpanjang di Indonesia adalah...,Kapuas,Barito,Musi,Mahakam,A
geografi,Sungai Kapuas berada di provinsi...,Kalimantan Barat,Kalimantan Timur,Kalimantan Tengah,Kalimantan Selatan,A
geografi,Garis khatulistiwa melewati wilayah Indonesia bagian...,Utara saja,Selatan saja,Tengah ekuator,Barat saja,C
geografi,Benua terkecil adalah...,Amerika Selatan,Australia,Eropa,Antarktika,B
geografi,Gunung Everest berada di pegunungan...,Andes,Rocky,Himalaya,Alpen,C
geografi,Sungai Nil terkenal mengalir di benua...,Australia,Eropa,Afrika,Asia,C
geografi,Gurun Sahara terletak di...,Asia,Afrika,Amerika Selatan,Australia,B
geografi,Samudra di sebelah timur benua Afrika adalah...,Arktik,Atlantik,Hindia,Pasifik,C
geografi,Garis bujur digunakan terutama untuk menentukan...,Jenis tanah,Ketinggian,Waktu,Curah hujan,C
geografi,Garis lintang digunakan untuk menentukan posisi...,Utara-selatan,Kedalaman laut,Jenis batuan,Timur-barat saja,A
geografi,Peta yang menunjukkan relief atau ketinggian permukaan bumi disebut peta...,Topografi,Penduduk,Cuaca,Politik,A
geografi,Peta yang menunjukkan persebaran penduduk termasuk peta...,Tematik,Kontur,Geologi saja,Navigasi laut,A
geografi,Gunung api berbentuk kerucut umumnya terbentuk akibat...,Pasang surut,Angin saja,Hujan saja,Aktivitas vulkanik,D
geografi,Gempa yang disebabkan pergerakan lempeng bumi disebut gempa...,Meteorologi,Tektonik,Buatan,Termal,B
geografi,Wilayah yang lebih tinggi daripada daerah sekitarnya dan memiliki lereng disebut...,Delta,Pegunungan,Dataran rendah,Pantai,B
geografi,Dataran yang relatif rendah dan luas disebut...,Tebing,Pegunungan,Lembah,Dataran rendah,D
geografi,Pertemuan sungai dengan laut sering membentuk...,Gletser,Puncak,Kawah,Muara,D
geografi,Endapan di muara sungai yang membentuk daratan baru disebut...,Gurun,Karst,Delta,Tundra,C
geografi,Hutan bakau banyak tumbuh di wilayah...,Gurun,Padang salju,Pesisir,Puncak gunung,C
geografi,Wilayah karst umumnya didominasi oleh batuan...,Granit,Kapur,Besi,Batu bara,B
geografi,Proses pengikisan tanah oleh air atau angin disebut...,Kondensasi,Sedimentasi,Erosi,Evaporasi,C
geografi,Proses pengendapan material hasil erosi disebut...,Erosi,Sedimentasi,Sublimasi,Insolasi,B
geografi,Lapisan atmosfer tempat terjadinya sebagian besar cuaca adalah...,Termosfer,Mesosfer,Troposfer,Stratosfer,C
geografi,Lapisan atmosfer yang banyak mengandung ozon adalah...,Stratosfer,Troposfer,Mesosfer,Eksosfer,A
geografi,Alat untuk mengukur curah hujan disebut...,Barometer,Anemometer,Ombrometer,Termometer,C
geografi,Alat untuk mengukur kecepatan angin disebut...,Seismograf,Ombrometer,Anemometer,Higrometer,C
geografi,Alat untuk mengukur tekanan udara disebut...,Barometer,Termometer,Odometer,Kompas,A
geografi,Alat untuk mencatat getaran gempa adalah...,Hidrometer,Anemometer,Barometer,Seismograf,D
sains,Rumus kimia air adalah...,NaCl,H2O,CO2,O2,B
sains,Gas yang diperlukan manusia untuk respirasi adalah...,Nitrogen,Oksigen,Helium,Karbon monoksida,B
sains,Proses tumbuhan membuat makanan sendiri disebut...,Fermentasi,Transpirasi,Respirasi,Fotosintesis,D
sains,Pigmen hijau pada daun disebut...,Hemoglobin,Klorofil,Melanin,Keratin,B
sains,Satuan gaya dalam SI adalah...,Newton,Pascal,Joule,Watt,A
sains,Satuan energi dalam SI adalah...,Ohm,Volt,Joule,Newton,C
sains,Satuan daya listrik adalah...,Ohm,Ampere,Volt,Watt,D
sains,Arus listrik diukur dalam satuan...,Ampere,Volt,Joule,Watt,A
sains,Tegangan listrik diukur dalam satuan...,Watt,Ohm,Volt,Ampere,C
sains,Hambatan listrik diukur dalam satuan...,Volt,Ohm,Newton,Joule,B
sains,Benda yang menghambat aliran listrik disebut...,Generator,Konduktor,Isolator,Magnet,C
sains,Logam umumnya merupakan penghantar listrik yang...,Buruk,Baik,Tidak sama sekali,Selalu nol,B
sains,Air dalam keadaan padat disebut...,Uap,Es,Embun,Kabut,B
sains,Perubahan gas menjadi cair disebut...,Mencair,Mengembun,Menguap,Membeku,B
sains,Perubahan padat menjadi gas secara langsung disebut...,Membeku,Kondensasi,Sublimasi,Mencair,C
sains,Perubahan cair menjadi padat disebut...,Menguap,Mengembun,Menyublim,Membeku,D
sains,Bagian sel yang mengatur aktivitas sel adalah...,Dinding sel,Nukleus,Vakuola,Ribosom,B
sains,Organel tempat berlangsungnya fotosintesis adalah...,Nukleus,Ribosom,Mitokondria,Kloroplas,D
sains,Organel yang dikenal sebagai tempat respirasi sel adalah...,Sentriol,Mitokondria,Kloroplas,Vakuola,B
sains,DNA merupakan singkatan dari...,Double Nitrogen Acid,Deoxygenated Nucleic Atom,Deoxyribonucleic Acid,Dynamic Nuclear Atom,C
sains,Partikel penyusun atom yang bermuatan negatif adalah...,Neutron,Elektron,Proton,Nukleon,B
sains,Partikel atom yang tidak bermuatan adalah...,Elektron,Proton,Ion,Neutron,D
sains,Partikel atom yang bermuatan positif adalah...,Proton,Neutron,Foton,Elektron,A
sains,Pusat atom disebut...,Ion,Kulit,Elektron,Nukleus,D
sains,Bunyi membutuhkan medium untuk...,Membeku,Merambat,Berkarat,Menguap,B
sains,Cahaya dapat merambat tanpa medium karena termasuk...,Gelombang air,Gelombang tanah,Gelombang mekanik,Gelombang elektromagnetik,D
sains,Kecepatan cahaya di ruang hampa kira-kira...,3 × 10^5 m/s,3 × 10^8 m/s,3 × 10^3 m/s,3 × 10^2 m/s,B
sains,Gaya tarik bumi terhadap benda disebut...,Apung,Gesekan,Gravitasi,Magnet,C
sains,Gaya yang menghambat gerak dua permukaan yang bersentuhan disebut...,Magnet,Gravitasi,Pegas,Gesekan,D
sains,Energi yang dimiliki benda karena geraknya disebut energi...,Kinetik,Potensial,Kimia,Nuklir,A
sains,Energi yang tersimpan karena posisi benda disebut energi...,Potensial,Cahaya,Kinetik,Bunyi,A
sains,Perubahan energi pada lampu listrik terutama dari listrik menjadi...,Gravitasi,Kimia,Cahaya dan panas,Gerak saja,C
sains,Cermin yang menghasilkan bayangan tegak dan diperkecil adalah...,Cermin datar,Cermin cembung,Prisma,Cermin cekung,B
sains,Lensa yang digunakan untuk membantu penderita rabun jauh adalah lensa...,Silinder air,Cembung,Datar,Cekung,D
sains,Lensa yang digunakan untuk membantu penderita rabun dekat adalah lensa...,Cekung,Prisma,Cembung,Datar,C
sains,Planet terdekat dengan Matahari adalah...,Venus,Mars,Merkurius,Bumi,C
sains,Planet yang memiliki cincin paling terkenal adalah...,Merkurius,Venus,Mars,Saturnus,D
sains,Benda langit yang mengelilingi Matahari pada lintasan tertentu disebut...,Nebula saja,Planet,Bintang jatuh,Awan,B
sains,Lapisan paling luar Bumi disebut...,Kerak,Inti luar,Inti dalam,Mantel,A
sains,Bagian Bumi yang sangat panas dan berada paling dalam disebut...,Kerak,Inti,Troposfer,Mantel,B
teknologi,CPU pada komputer berfungsi terutama untuk...,Menghasilkan suara saja,Menyimpan kertas,Memproses instruksi,Mencetak dokumen,C
teknologi,RAM digunakan komputer terutama untuk...,Mencetak foto,Mendinginkan monitor,Penyimpanan sementara saat program berjalan,Menghubungkan listrik rumah,C
teknologi,SSD merupakan perangkat untuk...,Menampilkan gambar,Penyimpanan data,Menghasilkan sinyal Wi-Fi saja,Merekam suara saja,B
teknologi,GPU terutama dirancang untuk menangani...,Pemindaian sidik jari,Pencetakan,Pengisian baterai,Pemrosesan grafis,D
teknologi,Sistem operasi berfungsi sebagai...,Jenis monitor,"Penghubung pengguna, aplikasi, dan perangkat keras",Bahasa pemrograman saja,Kabel jaringan,B
teknologi,Contoh sistem operasi komputer adalah...,USB,Windows,DDR,HDMI,B
teknologi,HTML digunakan terutama untuk...,Mengukur suhu,Menyusun struktur halaman web,Mengatur tegangan listrik,Mengedit audio analog,B
teknologi,CSS digunakan terutama untuk...,Menyimpan file BIOS,Mengatur tampilan halaman web,Menghitung daya listrik,Mengganti baterai,B
teknologi,JavaScript pada web digunakan terutama untuk...,Membuat halaman interaktif,Mengukur jaringan listrik,Mencetak dokumen,Membuat kabel,A
teknologi,URL adalah alamat untuk...,Mengatur suhu,Menunjuk sumber daya di internet,Mengukur kecepatan CPU,Mengisi baterai,B
teknologi,HTTP merupakan protokol yang banyak digunakan untuk...,Mengontrol printer secara mekanis,Mengukur bandwidth,Komunikasi Bluetooth saja,Komunikasi web,D
teknologi,HTTPS menambahkan keamanan melalui...,Menghapus RAM,Enkripsi koneksi,Memperbesar monitor,Menambah kapasitas baterai,B
teknologi,Wi-Fi digunakan untuk...,Penyimpanan optik,Pencetakan tanpa tinta saja,Pendinginan CPU,Jaringan nirkabel,D
teknologi,Bluetooth dirancang untuk komunikasi...,Radio AM saja,Satelit jarak jauh,Nirkabel jarak dekat,Kabel bawah laut,C
teknologi,USB adalah singkatan dari...,User Signal Bridge,United System Board,Universal Storage Box,Universal Serial Bus,D
