category,question,option_a,option_b,option_c,option_d,answer
bahasa,Riwayat hidup yang ditulis oleh diri sendiri disebut...,Biografi,Autobiografi,Fabel,Legenda,B
bahasa,Kata “bermain” termasuk kata...,Kerja,Benda,Sifat,Bilangan,A
bahasa,Kata “rumah” termasuk kata...,Kerja,Benda,Hubung,Seru,B
bahasa,Gagasan utama disebut juga...,Ide pokok,Kata depan,Predikat,Sampiran,A
bahasa,Cerita dengan tokoh binatang dan pesan moral disebut...,Fabel,Biografi,Berita,Eksposisi,A
mtk,Hasil dari 27 + 38 adalah...,55,65,75,85,B
mtk,Hasil dari 96 − 47 adalah...,39,49,59,69,B
mtk,Hasil dari 14 × 7 adalah...,84,91,98,104,A
mtk,Hasil dari 225 ÷ 15 adalah...,12,15,18,20,B
mtk,"Jika x − 9 = 16, maka x = ...",7,25,27,29,B
mtk,30% dari 150 adalah...,30,45,50,60,B
mtk,Luas persegi dengan sisi 7 cm adalah...,14 cm²,28 cm²,49 cm²,56 cm²,C
mtk,Keliling persegi panjang 8 cm × 3 cm adalah...,11 cm,22 cm,24 cm,48 cm,B
mtk,Hasil dari 2/5 + 1/5 adalah...,2/10,3/5,3/10,1/5,B
mtk,"Hasil dari 0,75 × 4 adalah...",2,"2,5",3,"3,5",C
logika,"Lanjutkan pola: 5, 10, 15, 20, ...",24,25,30,35,B
logika,"Lanjutkan pola: 64, 32, 16, 8, ...",2,4,6,10,B
logika,"Jika semua burung memiliki sayap dan Elang adalah burung, maka Elang...",Memiliki sayap,Tidak memiliki sayap,Adalah ikan,Tidak dapat bergerak,A
logika,Rina lebih tua dari Sari. Sari lebih tua dari Tika. Yang termuda adalah...,Rina,Sari,Tika,Tidak diketahui,C
logika,"Jika hari ini Rabu, dua hari lagi adalah...",Kamis,Jumat,Sabtu,Minggu,B
logika,"Pola huruf B, D, F, H, ... adalah...",I,J,K,L,B
logika,"Jika 3 kotak masing-masing berisi 6 kelereng, jumlahnya...",9,12,18,24,C
logika,Semua mawar adalah bunga. Yang pasti benar adalah...,Semua bunga mawar,Mawar termasuk bunga,Tidak ada mawar,Bunga bukan tanaman,B
logika,"Pola 2, 5, 8, 11, ... berikutnya...",12,13,14,15,C
logika,"Pola 1, 4, 9, 16, ... berikutnya...",20,24,25,36,C
umum,Planet yang dikenal sebagai Planet Merah adalah...,Venus,Mars,Jupiter,Merkurius,B
umum,Alat yang digunakan untuk mengukur suhu disebut...,Barometer,Termometer,Higrometer,Anemometer,B
umum,Benua terluas di dunia adalah...,Afrika,Eropa,Asia,Australia,C
umum,Samudra terluas di dunia adalah...,Atlantik,Hindia,Arktik,Pasifik,D
umum,Hewan yang mengalami metamorfosis sempurna adalah...,Kucing,Ayam,Kupu-kupu,Ikan,C
umum,Sumber energi utama bagi kehidupan di Bumi adalah...,Bulan,Matahari,Angin,Batu bara,B
umum,Bagian tumbuhan yang umumnya berfungsi menyerap air dari tanah adalah...,Bunga,Akar,Buah,Batang,B
umum,Satuan dasar untuk mengukur massa dalam SI adalah...,Meter,Sekon,Kilogram,Liter,C
umum,Alat untuk melihat benda yang sangat jauh seperti bintang adalah...,Mikroskop,Teleskop,Periskop,Termometer,B
umum,Hewan yang termasuk kelompok mamalia adalah...,Katak,Penyu,Lumba-lumba,Buaya,C
umum,Gas yang paling banyak terdapat di atmosfer Bumi adalah...,Oksigen,Nitrogen,Karbon dioksida,Hidrogen,B
umum,Bentuk Bumi yang paling tepat digambarkan sebagai...,Kubus,Bola sempurna,Geoida,Piramida,C
umum,Alat untuk mengukur waktu secara sederhana adalah...,Jam,Kompas,Neraca,Jangka sorong,A
umum,Proses perubahan air menjadi uap karena pemanasan disebut...,Membeku,Menguap,Mengembun,Mencair,B
umum,Hewan yang aktif terutama pada malam hari disebut...,Diurnal,Nocturnal,Herbivora,Omnivora,B
umum,Bagian tubuh manusia yang berfungsi memompa darah adalah...,Paru-paru,Hati,Jantung,Ginjal,C
umum,Benda yang dapat ditarik kuat oleh magnet adalah...,Kayu,Plastik,Besi,Kertas,C
umum,Warna yang dihasilkan dari campuran biru dan kuning adalah...,Hijau,Ungu,Oranye,Cokelat,A
umum,Organ tubuh yang digunakan untuk bernapas adalah...,Lambung,Paru-paru,Usus,Pankreas,B
umum,Kumpulan bintang yang tampak membentuk pola tertentu disebut...,Galaksi,Rasi bintang,Orbit,Satelit,B
umum,Satu lusin berjumlah...,10,11,12,13,C
umum,Hari setelah Jumat adalah...,Kamis,Sabtu,Minggu,Senin,B
umum,Alat untuk memotong kertas adalah...,Gunting,Penggaris,Stapler,Penghapus,A
umum,Buah yang dikenal kaya akan vitamin C adalah...,Jeruk,Nasi,Telur,Keju,A
umum,Hewan yang dikenal sebagai raja hutan adalah...,Harimau,Singa,Serigala,Beruang,B
umum,Logam yang memiliki simbol kimia Au adalah...,Perak,Emas,Besi,Tembaga,B
umum,Planet terbesar dalam tata surya adalah...,Saturnus,Bumi,Jupiter,Neptunus,C
umum,Satelit alami Bumi adalah...,Mars,Bulan,Matahari,Venus,B
umum,Air mendidih pada tekanan normal pada suhu sekitar...,0°C,50°C,100°C,200°C,C
umum,Hewan yang memakan tumbuhan terutama disebut...,Karnivora,Herbivora,Insektivora,Piscivora,B
umum,Alat untuk mengetahui arah utara adalah...,Kompas,Termometer,Barometer,Kalkulator,A
umum,Pelangi biasanya terdiri dari berapa warna utama yang dikenal dalam pelajaran dasar?,5,6,7,8,C
umum,Benda yang mengorbit sebuah planet disebut...,Satelit,Kompas,Meteorologi,Komet saja,A
umum,Sistem peredaran darah manusia mengedarkan...,Udara saja,Darah,Makanan saja,Air hujan,B
umum,Bahan yang paling umum digunakan untuk membuat kaca adalah...,Pasir silika,Kayu,Karet,Kapas,A
umum,Kertas dibuat terutama dari bahan dasar...,Serat kayu,Besi,Batu,Minyak goreng,A
umum,Hewan yang memiliki delapan kaki adalah...,Laba-laba,Kupu-kupu,Belalang,Cacing,A
umum,Bagian mata yang memberi warna pada mata disebut...,Kornea,Iris,Retina,Pupil,B
umum,Zat yang dibutuhkan manusia untuk membangun dan memperbaiki jaringan tubuh adalah...,Protein,Garam,Air saja,Karbon dioksida,A
umum,Alat musik yang dimainkan dengan cara dipukul adalah...,Biola,Drum,Seruling,Gitar,B
sejarah,Proklamasi Kemerdekaan Indonesia dibacakan pada tanggal...,17 Agustus 1945,20 Mei 1908,28 Oktober 1928,10 November 1945,A
sejarah,Tokoh yang membacakan Proklamasi Kemerdekaan Indonesia adalah...,Mohammad Hatta,Soekarno,Sutan Sjahrir,Ki Hajar Dewantara,B
sejarah,Tokoh yang mendampingi Soekarno saat Proklamasi adalah...,Mohammad Hatta,Ahmad Yani,Tan Malaka,Diponegoro,A
sejarah,Organisasi Budi Utomo berdiri pada tahun...,1905,1908,1928,1945,B
sejarah,Sumpah Pemuda diperingati setiap tanggal...,20 Mei,17 Agustus,28 Oktober,10 November,C
sejarah,Peristiwa Bandung Lautan Api terjadi pada tahun...,1945,1946,1947,1948,B
sejarah,Hari Pahlawan diperingati pada...,10 November,1 Juni,2 Mei,21 April,A
sejarah,VOC merupakan perusahaan dagang yang didirikan oleh...,Belanda,Inggris,Portugis,Spanyol,A
sejarah,Kerajaan Majapahit mencapai masa kejayaan pada masa pemerintahan...,Hayam Wuruk,Airlangga,Mulawarman,Purnawarman,A
sejarah,Patih Majapahit yang terkenal dengan Sumpah Palapa adalah...,Gajah Mada,Ken Arok,Adityawarman,Raden Wijaya,A
sejarah,Candi Borobudur merupakan peninggalan bercorak...,Hindu,Buddha,Islam,Kristen,B
sejarah,Candi Prambanan dikenal sebagai kompleks candi bercorak...,Buddha,Hindu,Islam,Konghucu,B
sejarah,Kerajaan Kutai dikenal sebagai salah satu kerajaan Hindu tertua di...,Jawa,Sumatra,Kalimantan,Sulawesi,C
sejarah,Kerajaan Sriwijaya dikenal kuat sebagai kerajaan...,Maritim,Agraris saja,Pegunungan,Nomaden,A
sejarah,Ki Hajar Dewantara dikenal sebagai tokoh penting dalam bidang...,Pendidikan,Perdagangan,Pelayaran,Pertambangan,A
sejarah,Hari Pendidikan Nasional diperingati setiap...,2 Mei,21 April,1 Juni,10 November,A
sejarah,R.A. Kartini dikenal sebagai tokoh yang memperjuangkan...,Emansipasi perempuan,Kemerdekaan India,Revolusi industri,Pelayaran,A
sejarah,Perang Diponegoro berlangsung pada abad...,17,18,19,20,C
sejarah,Pangeran Diponegoro memimpin perlawanan terhadap...,Belanda,Jepang,Portugis,Inggris,A
sejarah,Pendudukan Jepang di Indonesia dimulai pada tahun...,1930,1942,1945,1950,B
sejarah,BPUPKI dibentuk dalam rangka...,Mempersiapkan kemerdekaan Indonesia,Membentuk VOC,Mendirikan kerajaan,Menghapus sekolah,A
sejarah,Peristiwa Rengasdengklok berkaitan erat dengan...,Persiapan Proklamasi,Perang Diponegoro,Sumpah Pemuda,Konferensi Asia Afrika,A
sejarah,Konferensi Asia Afrika pertama kali diselenggarakan di...,Jakarta,Bandung,Surabaya,Yogyakarta,B
sejarah,Konferensi Asia Afrika berlangsung pada tahun...,1945,1950,1955,1960,C
sejarah,Tokoh yang dikenal sebagai pendiri Taman Siswa adalah...,Ki Hajar Dewantara,Soekarno,Mohammad Hatta,Douwes Dekker,A
sejarah,Semboyan pendidikan Ki Hajar Dewantara yang terkenal adalah...,Tut Wuri Handayani,Bhinneka Tunggal Ika,Merdeka atau Mati,Jas Merah,A
sejarah,Kerajaan Mataram Kuno banyak meninggalkan peninggalan berupa...,Candi,Benteng modern,Rel kereta,Pelabuhan baja,A
sejarah,Situs manusia purba Sangiran berada di...,Jawa Tengah,Bali,Papua,Sumatra Barat,A
sejarah,Naskah Proklamasi diketik oleh...,Sayuti Melik,Wikana,Chaerul Saleh,Ahmad Soebardjo,A
sejarah,Bendera Merah Putih yang dikibarkan saat Proklamasi dijahit oleh...,Fatmawati,Kartini,Dewi Sartika,Cut Nyak Dien,A
sejarah,Lagu Indonesia Raya diciptakan oleh...,W.R. Supratman,Ismail Marzuki,Kusbini,C. Simanjuntak,A
sejarah,Semboyan 'Bhinneka Tunggal Ika' berasal dari karya sastra zaman...,Majapahit,Sriwijaya,Kutai,Tarumanegara,A
sejarah,Perang Padri berlangsung terutama di wilayah...,Sumatra Barat,Jawa Barat,Bali,Maluku,A
sejarah,Tuanku Imam Bonjol merupakan tokoh dalam...,Perang Padri,Perang Aceh,Perang Jawa,Perang Banjar,A
sejarah,Cut Nyak Dien dikenal sebagai pahlawan dari...,Aceh,Jawa,Bali,Maluku,A
sejarah,Pattimura memimpin perlawanan rakyat di wilayah...,Maluku,Aceh,Jawa Tengah,Kalimantan,A
sejarah,Sultan Hasanuddin merupakan pahlawan dari...,Sulawesi Selatan,Jawa Timur,Sumatra Selatan,Papua,A
sejarah,Julukan Sultan Hasanuddin adalah...,Ayam Jantan dari Timur,Singa Padang Pasir,Harimau Jawa,Elang Nusantara,A
sejarah,Tan Malaka dikenal sebagai salah satu tokoh...,Pergerakan nasional,Kerajaan Hindu,Pelayaran Portugis,Penjelajahan samudra,A
geografi,Ibu kota Provinsi Jawa Barat adalah...,Bandung,Semarang,Serang,Bogor,A
geografi,Ibu kota Provinsi Jawa Tengah adalah...,Surabaya,Semarang,Bandung,Yogyakarta,B
geografi,Ibu kota Provinsi Jawa Timur adalah...,Malang,Surabaya,Kediri,Madiun,B
geografi,Pulau terbesar di Indonesia adalah...,Jawa,Kalimantan,Bali,Madura,B
geografi,Pulau yang dikenal sebagai Pulau Dewata adalah...,Lombok,Bali,Sumbawa,Flores,B
geografi,Selat yang memisahkan Pulau Jawa dan Sumatra adalah...,Selat Sunda,Selat Bali,Selat Makassar,Selat Karimata,A
geografi,Selat yang memisahkan Bali dan Jawa adalah...,Selat Bali,Selat Sunda,Selat Lombok,Selat Malaka,A
geografi,Laut yang berada di antara Kalimantan dan Sulawesi adalah...,Laut Jawa,Laut Flores,Laut Sulawesi,Laut Arafura,C
geografi,Danau Toba terletak di provinsi...,Sumatra Utara,Sumatra Barat,Riau,Jambi,A
geografi,Gunung tertinggi di Indonesia adalah...,Semeru,Kerinci,Puncak Jaya,Rinjani,C
geografi,Gunung Rinjani berada di pulau...,Lombok,Bali,Jawa,Sumatra,A
geografi,Sungai terpanjang di Indonesia adalah...,Kapuas,Mahakam,Musi,Barito,A
geografi,Sungai Kapuas berada di provinsi...,Kalimantan Barat,Kalimantan Timur,Kalimantan Selatan,Kalimantan Tengah,A
geografi,Garis khatulistiwa melewati wilayah Indonesia bagian...,Tengah ekuator,Selatan saja,Utara saja,Barat saja,A
geografi,Benua terkecil adalah...,Australia,Eropa,Antarktika,Amerika Selatan,A
geografi,Gunung Everest berada di pegunungan...,Andes,Himalaya,Alpen,Rocky,B
geografi,Sungai Nil terkenal mengalir di benua...,Asia,Afrika,Eropa,Australia,B
geografi,Gurun Sahara terletak di...,Afrika,Asia,Australia,Amerika Selatan,A
geografi,Samudra di sebelah timur benua Afrika adalah...,Atlantik,Pasifik,Hindia,Arktik,C
geografi,Garis bujur digunakan terutama untuk menentukan...,Waktu,Curah hujan,Ketinggian,Jenis tanah,A
geografi,Garis lintang digunakan untuk menentukan posisi...,Utara-selatan,Timur-barat saja,Kedalaman laut,Jenis batuan,A
geografi,Peta yang menunjukkan relief atau ketinggian permukaan bumi disebut peta...,Topografi,Politik,Penduduk,Cuaca,A
geografi,Peta yang menunjukkan persebaran penduduk termasuk peta...,Tematik,Navigasi laut,Kontur,Geologi saja,A
geografi,Gunung api berbentuk kerucut umumnya terbentuk akibat...,Aktivitas vulkanik,Pasang surut,Angin saja,Hujan saja,A
geografi,Gempa yang disebabkan pergerakan lempeng bumi disebut gempa...,Tektonik,Buatan,Termal,Meteorologi,A
geografi,Wilayah yang lebih tinggi daripada daerah sekitarnya dan memiliki lereng disebut...,Pegunungan,Dataran rendah,Delta,Pantai,A
geografi,Dataran yang relatif rendah dan luas disebut...,Dataran rendah,Pegunungan,Lembah,Tebing,A
geografi,Pertemuan sungai dengan laut sering membentuk...,Muara,Puncak,Kawah,Gletser,A
geografi,Endapan di muara sungai yang membentuk daratan baru disebut...,Delta,Gurun,Karst,Tundra,A
geografi,Hutan bakau banyak tumbuh di wilayah...,Pesisir,Puncak gunung,Gurun,Padang salju,A
geografi,Wilayah karst umumnya didominasi oleh batuan...,Kapur,Granit,Besi,Batu bara,A
geografi,Proses pengikisan tanah oleh air atau angin disebut...,Erosi,Sedimentasi,Evaporasi,Kondensasi,A
geografi,Proses pengendapan material hasil erosi disebut...,Sedimentasi,Erosi,Sublimasi,Insolasi,A
geografi,Lapisan atmosfer tempat terjadinya sebagian besar cuaca adalah...,Troposfer,Stratosfer,Mesosfer,Termosfer,A
geografi,Lapisan atmosfer yang banyak mengandung ozon adalah...,Stratosfer,Troposfer,Eksosfer,Mesosfer,A
geografi,Alat untuk mengukur curah hujan disebut...,Ombrometer,Anemometer,Barometer,Termometer,A
geografi,Alat untuk mengukur kecepatan angin disebut...,Anemometer,Higrometer,Ombrometer,Seismograf,A
geografi,Alat untuk mengukur tekanan udara disebut...,Barometer,Termometer,Kompas,Odometer,A
geografi,Alat untuk mencatat getaran gempa adalah...,Seismograf,Barometer,Anemometer,Hidrometer,A
sains,Rumus kimia air adalah...,CO2,H2O,O2,NaCl,B
sains,Gas yang diperlukan manusia untuk respirasi adalah...,Nitrogen,Oksigen,Helium,Karbon monoksida,B
sains,Proses tumbuhan membuat makanan sendiri disebut...,Fotosintesis,Respirasi,Fermentasi,Transpirasi,A
sains,Pigmen hijau pada daun disebut...,Klorofil,Hemoglobin,Melanin,Keratin,A
sains,Satuan gaya dalam SI adalah...,Joule,Newton,Watt,Pascal,B
sains,Satuan energi dalam SI adalah...,Joule,Newton,Volt,Ohm,A
sains,Satuan daya listrik adalah...,Watt,Ampere,Volt,Ohm,A
sains,Arus listrik diukur dalam satuan...,Volt,Ampere,Watt,Joule,B
sains,Tegangan listrik diukur dalam satuan...,Volt,Ampere,Ohm,Watt,A
sains,Hambatan listrik diukur dalam satuan...,Ohm,Volt,Joule,Newton,A
sains,Benda yang menghambat aliran listrik disebut...,Konduktor,Isolator,Magnet,Generator,B
sains,Logam umumnya merupakan penghantar listrik yang...,Baik,Buruk,Tidak sama sekali,Selalu nol,A
sains,Air dalam keadaan padat disebut...,Uap,Es,Embun,Kabut,B
sains,Perubahan gas menjadi cair disebut...,Menguap,Mengembun,Membeku,Mencair,B
sains,Perubahan padat menjadi gas secara langsung disebut...,Sublimasi,Kondensasi,Mencair,Membeku,A
sains,Perubahan cair menjadi padat disebut...,Membeku,Menguap,Mengembun,Menyublim,A
sains,Bagian sel yang mengatur aktivitas sel adalah...,Nukleus,Dinding sel,Vakuola,Ribosom,A
sains,Organel tempat berlangsungnya fotosintesis adalah...,Mitokondria,Kloroplas,Nukleus,Ribosom,B
sains,Organel yang dikenal sebagai tempat respirasi sel adalah...,Mitokondria,Kloroplas,Vakuola,Sentriol,A
sains,DNA merupakan singkatan dari...,Deoxyribonucleic Acid,Dynamic Nuclear Atom,Double Nitrogen Acid,Deoxygenated Nucleic Atom,A
sains,Partikel penyusun atom yang bermuatan negatif adalah...,Proton,Neutron,Elektron,Nukleon,C
sains,Partikel atom yang tidak bermuatan adalah...,Proton,Neutron,Elektron,Ion,B
sains,Partikel atom yang bermuatan positif adalah...,Elektron,Neutron,Proton,Foton,C
sains,Pusat atom disebut...,Elektron,Nukleus,Kulit,Ion,B
sains,Bunyi membutuhkan medium untuk...,Merambat,Membeku,Menguap,Berkarat,A
sains,Cahaya dapat merambat tanpa medium karena termasuk...,Gelombang elektromagnetik,Gelombang mekanik,Gelombang air,Gelombang tanah,A
sains,Kecepatan cahaya di ruang hampa kira-kira...,3 × 10^8 m/s,3 × 10^5 m/s,3 × 10^3 m/s,3 × 10^2 m/s,A
sains,Gaya tarik bumi terhadap benda disebut...,Gravitasi,Gesekan,Magnet,Apung,A
sains,Gaya yang menghambat gerak dua permukaan yang bersentuhan disebut...,Gesekan,Gravitasi,Pegas,Magnet,A
sains,Energi yang dimiliki benda karena geraknya disebut energi...,Potensial,Kinetik,Kimia,Nuklir,B
sains,Energi yang tersimpan karena posisi benda disebut energi...,Kinetik,Potensial,Bunyi,Cahaya,B
sains,Perubahan energi pada lampu listrik terutama dari listrik menjadi...,Cahaya dan panas,Gerak saja,Kimia,Gravitasi,A
sains,Cermin yang menghasilkan bayangan tegak dan diperkecil adalah...,Cermin cembung,Cermin datar,Cermin cekung,Prisma,A
sains,Lensa yang digunakan untuk membantu penderita rabun jauh adalah lensa...,Cekung,Cembung,Datar,Silinder air,A
sains,Lensa yang digunakan untuk membantu penderita rabun dekat adalah lensa...,Cekung,Cembung,Datar,Prisma,B
sains,Planet terdekat dengan Matahari adalah...,Venus,Merkurius,Bumi,Mars,B
sains,Planet yang memiliki cincin paling terkenal adalah...,Mars,Saturnus,Merkurius,Venus,B
sains,Benda langit yang mengelilingi Matahari pada lintasan tertentu disebut...,Planet,Awan,Nebula saja,Bintang jatuh,A
sains,Lapisan paling luar Bumi disebut...,Kerak,Mantel,Inti luar,Inti dalam,A
sains,Bagian Bumi yang sangat panas dan berada paling dalam disebut...,Kerak,Mantel,Inti,Troposfer,C
teknologi,CPU pada komputer berfungsi terutama untuk...,Memproses instruksi,Mencetak dokumen,Menghasilkan suara saja,Menyimpan kertas,A
teknologi,RAM digunakan komputer terutama untuk...,Penyimpanan sementara saat program berjalan,Mencetak foto,Menghubungkan listrik rumah,Mendinginkan monitor,A
teknologi,SSD merupakan perangkat untuk...,Penyimpanan data,Menghasilkan sinyal Wi-Fi saja,Menampilkan gambar,Merekam suara saja,A
teknologi,GPU terutama dirancang untuk menangani...,Pemrosesan grafis,Pencetakan,Pengisian baterai,Pemindaian sidik jari,A
teknologi,Sistem operasi berfungsi sebagai...,"Penghubung pengguna, aplikasi, dan perangkat keras",Kabel jaringan,Jenis monitor,Bahasa pemrograman saja,A
teknologi,Contoh sistem operasi komputer adalah...,Windows,HDMI,USB,DDR,A
teknologi,HTML digunakan terutama untuk...,Menyusun struktur halaman web,Mengedit audio analog,Mengukur suhu,Mengatur tegangan listrik,A
teknologi,CSS digunakan terutama untuk...,Mengatur tampilan halaman web,Menyimpan file BIOS,Menghitung daya listrik,Mengganti baterai,A
teknologi,JavaScript pada web digunakan terutama untuk...,Membuat halaman interaktif,Membuat kabel,Mencetak dokumen,Mengukur jaringan listrik,A
teknologi,URL adalah alamat untuk...,Menunjuk sumber daya di internet,Mengukur kecepatan CPU,Mengatur suhu,Mengisi baterai,A
teknologi,HTTP merupakan protokol yang banyak digunakan untuk...,Komunikasi web,Komunikasi Bluetooth saja,Mengontrol printer secara mekanis,Mengukur bandwidth,A
teknologi,HTTPS menambahkan keamanan melalui...,Enkripsi koneksi,Memperbesar monitor,Menghapus RAM,Menambah kapasitas baterai,A
teknologi,Wi-Fi digunakan untuk...,Jaringan nirkabel,Pencetakan tanpa tinta saja,Pendinginan CPU,Penyimpanan optik,A
teknologi,Bluetooth dirancang untuk komunikasi...,Nirkabel jarak dekat,Satelit jarak jauh,Kabel bawah laut,Radio AM saja,A
teknologi,USB adalah singkatan dari...,Universal Serial Bus,United System Board,Universal Storage Box,User Signal Bridge,A
